date,RM,MP
1935-06-30,0.05789982438231367,0.05789982438231367
1935-07-31,0.0748807110193368,0.07460204662134884
1935-08-31,0.02573414462052237,0.02573414462052237
1935-09-30,0.026095891373967284,0.025849912105779138
1935-10-31,0.06946104180647383,0.06946104180647383
1935-11-30,0.05240471491892862,0.052163213288358934
1935-12-31,0.04693928703957284,0.04667805310147388
1936-01-31,0.06960181141259292,0.06932446145365434
1936-02-29,0.02555617423572798,0.025320572833281707
1936-03-31,0.007713070743864625,0.007451157015966325
1936-04-30,-0.08114082484900642,-0.08137131072148607
1936-05-31,0.05250091053580097,0.05223834290853224
1936-06-30,0.024708470297682084,0.024442324120929504
1936-07-31,0.06653012404898084,0.06625354192835631
1936-08-31,0.01104222207814054,0.010779486105147118
1936-09-30,0.012045748723173322,0.012045748723173322
